"","Scientific.Name","x","y"
"8354","Phascolarctos cinereus",280062.175270216,5860234.90100214
"8355","Phascolarctos cinereus",270761.704395112,5796934.76618703
"8356","Phascolarctos cinereus",456599.008743946,5746641.95438126
"8357","Phascolarctos cinereus",283162.517432687,5842535.64715566
"8358","Phascolarctos cinereus",430662.0044619,5989935.29315041
"8359","Phascolarctos cinereus",330007.206068609,5745366.05182938
"8360","Phascolarctos cinereus",394162.003781472,5848735.69299253
"8361","Phascolarctos cinereus",224386.944241663,5830729.20214493
"8362","Phascolarctos cinereus",50239.4341273789,5918902.63567508
"8363","Phascolarctos cinereus",351362.348189205,5803735.22659124
"8364","Phascolarctos cinereus",379462.1890973,5806235.28896338
"8365","Phascolarctos cinereus",266169.287253677,5851207.02053431
"8366","Phascolarctos cinereus",15721.1310868306,5791673.87454732
"8367","Phascolarctos cinereus",38966.2723098066,5768206.84336083
"8368","Phascolarctos cinereus",237149.308470207,5834250.72737842
"8369","Phascolarctos cinereus",9638.48502798588,5790532.24038818
"8370","Phascolarctos cinereus",61350.0259191629,5917893.95503121
"8371","Phascolarctos cinereus",428279.097312701,5829611.61598041
"8372","Phascolarctos cinereus",270213.187925386,5849871.41798659
"8373","Phascolarctos cinereus",244561.880461995,5838535.07743219
"8374","Phascolarctos cinereus",418362.324746588,5718535.01428008
"8375","Phascolarctos cinereus",174277.960788338,5863887.08210426
"8376","Phascolarctos cinereus",453261.831842563,5753435.3694801
"8377","Phascolarctos cinereus",252420.051236237,5863278.66871816
"8378","Phascolarctos cinereus",375994.582081348,5859953.9361693
"8379","Phascolarctos cinereus",200533.537388981,5697861.42696632
"8380","Phascolarctos cinereus",182805.539319681,5749647.02653442
"8381","Phascolarctos cinereus",225883.331791943,5714865.31216729
"8382","Phascolarctos cinereus",19015.9471564968,5781719.83088189
"8383","Phascolarctos cinereus",452962.472568949,5752935.40064506
"8384","Phascolarctos cinereus",15152.7277017568,5786485.9387004
"8385","Phascolarctos cinereus",372162.51090512,5907235.63039443
"8386","Phascolarctos cinereus",259462.147383084,5808435.60364556
"8387","Phascolarctos cinereus",20684.2864644512,5760777.55064361
"8388","Phascolarctos cinereus",25362.4951770567,5777380.80600293
"8389","Phascolarctos cinereus",240761.574252385,5736834.68817802
"8390","Phascolarctos cinereus",397227.365608444,5927634.70464303
"8391","Phascolarctos cinereus",453862.166124134,5752035.1337885
"8392","Phascolarctos cinereus",402781.200696264,5921234.71983085
"8393","Phascolarctos cinereus",163809.201245068,5870376.20317528
"8394","Phascolarctos cinereus",2792.54053100775,5779028.35775336
"8395","Phascolarctos cinereus",225271.443790216,5715025.38967919
"8396","Phascolarctos cinereus",425094.890521644,5768808.67198685
